  24   66   59   52   29   91   21   31   64   38   54   24   47   42   67   67   22   28   37   26   50   31   46   27   50   43   60   49   50   67   63   28   28   60   94   64   47   47   24   30   20   46   59   21  139   70  113   46  150   53  284   93 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  31   33   24   27   32   41   38   36   46   23   28   30   33   29   36   25   37   49   29   39   52   37   32   38   25   41   27   27   42   44   38   39   25   34   32   75   31   22   44   32   20   37   30   56   33   39   28   25   40   31   50   34   27   25   47   60   31   28   33   49   26   36   28   34   39   48   36   46   30   23   51   32   32   31   50   21   36   28   42   31   44   39   45   42   29   33   36   44   27   31   86   67   35   68   78   66   73  112  123  265
  60   25   22   64   29   29   31   35   28   43   39   33   60   42   45   39   21   85   31   52   26   60   50   26   26   76   33   49   49   29   57   33   34   29   48   55   56   35   33   82   24   31   40   29   33   24   27   40   38   34   26   43   97   55   53  172   71   71  114  138  468 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  44   34   31   44   41   34   31   36   44   30   26   53   28   38   33   37   54   27   29   51   31   26   44   41   27   31   26   43   40   37   92   61   76   34   57   47   57   43   48   21   31   21   34   60   26   48   44   43   29   40   30   39   50   30   47   22   29   59   53   66   43   21   66   67   34   86  104   67  116  105  319 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  44   31   49   36   56   41   27   42   29   25   34   32   54   28   40   37   31   34   32   37   26   31   33   27   21   62   39   28   39   38   50   36   47   37   26   23   25   33   35   36   37   36   46   40   31   26   26   51   45   28   81   50   38   22   48   35   27   61   22   52   39   26   45   38   44   34   56   29   41   31   33   32   32   36   57   53   36   34   41   32   51   37   31   91   70   54   23   83   89   22   92  110  202 1010 1010 1010 1010 1010 1010 1010
  33   25   44   53   47   33   29   27   46   39   41   42   40   43   25   45   47   28   42   51   40   55   43   50   40   35   31   58   62   74   64   57   49   57   51   99  100   31   41   93  139  148 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  23   24   33   33   31   33   43   37   38   27   43   27   36   33   69   39   33   50   21   63   40   41   33   24   30   34   52   29   27   39   31   38   41   44   35   33   33   32   31   35   37   29   35   41   43   31   27   29   55   22   37   23   29   48   24   47   31   33   28   29   47   27   48   35   38   30   31   64   30   65   23   26   50   47   41   37   29   33   36   29   26   32   38   25   40   34   45   29   32   27   30   49   26   31   26   35   68   28   34   31
  43   31   28   33   30   42   44   31   49   35   42   45   65   41   43   47   54   25   42   37   35   30   64   34   40   67   48   35   42   39   85   52   28   46   63   56   27   27   81   27   33   37   41  111   40   63  172   35   34   51 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  32   30   30   23   42   35   32   31   29   36   40   54   29   80   27   68   32   38   36   27   21   83   32   25   29   61   26   37   36   33   39   25   33   47   24   32   26   29   31   23   31   41   45   36   33   36   35   33   34   36   99   49   33   25   60   30   57   52   43   48   59   62   32   36   76   49   31   56   41   38   31   39   29   50   45   69   55   72   52  126   38 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
  31   49   30   43   25   38   37   48   28   27   42   35   35   33   26   35   32   28   23   32   43   49   34   25   55   56   48   42   53   27   30   40   50   42   45   23   35   37   44   60   32   31   39   38   44   58   27   43   23   49   62   58   54   52   58   93   47   31   75   80   87  106  129 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010 1010
